age,gender,education,party,income,too_many_imm,take_jobs,drive_down_wages,create_jobs,brexit_to_cut,increase_imm,sm_or_control,eu_vote,employment,student,condition
28,Male,A-lev,Plaid,20-30K,1,2,4,1,1,7,5,Remain,Full-Time,No,control
26,Female,A-lev,Con,40-50K,0,4,5,4,10,5,8,Remain,Not in paid work,No,control
51,Female,BA,Grn,20-30K,0,4,5,3,10,5,10,Remain,Part-Time,No,control
31,Female,A-lev,Lab,30-40K,0,5,5,3,10,5,10,Remain,Full-Time,No,control
24,Male,A-lev,Lab,10-20K,0,4,3,3,5,6,9,Remain,Unemployed,Yes,control
47,Female,PG,Grn,Over100K,1,2,2,2,2,2,9,Remain,Full-Time,No,control
52,Male,A-lev,Lab,Under10K,0,4,3,4,9,5,10,Remain,Not in paid work,No,control
21,Female,BA,Lib,Under10K,0,5,5,3,9,5,7,Remain,Unemployed,Yes,control
33,Female,BA,Lab,30-40K,0,3,3,3,5,5,6,Remain,Not in paid work,No,control
22,Male,GCSEorLess,Lab,20-30K,0,3,5,4,10,4,10,Remain,Not in paid work,No,control
40,Female,BA,None,Over100K,0,4,4,4,8,5,9,Remain,Part-Time,No,control
40,Female,BA,Lab,20-30K,0,4,4,3,9,5,9,Remain,Full-Time,No,control
32,Female,PG,Lib,30-40K,0,4,3,2,8,5,9,Remain,Full-Time,No,control
54,Male,GCSEorLess,Lab,10-20K,0,5,5,5,10,5,10,Remain,Not in paid work,No,control
34,Female,BA,Lib,60-70K,0,5,5,4,10,4,10,Remain,Full-Time,No,control
38,Female,BA,Lib,60-70K,0,4,4,3,6,5,6,Remain,Part-Time,No,control
22,Male,BA,None,20-30K,0,5,5,4,10,5,9,Remain,Unemployed,Yes,control
22,Male,A-lev,Lab,30-40K,0,5,5,3,5,5,10,Remain,Other,Yes,control
47,Female,BA,Lab,50-60K,0,4,2,4,9,4,7,Remain,Part-Time,No,control
27,Female,PG,Grn,40-50K,0,3,4,4,5,6,5,Remain,Full-Time,No,control
29,Female,A-lev,Grn,20-30K,0,5,5,4,10,3,10,Remain,Full-Time,No,control
27,Female,PG,Con,60-70K,0,4,4,3,7,5,7,Remain,Part-Time,No,control
34,Female,BA,Lib,50-60K,0,4,3,2,3,3,2,Remain,Part-Time,No,control
21,Female,PG,Grn,30-40K,0,5,5,4,9,7,8,Remain,Part-Time,Yes,control
31,Female,A-lev,Rather_not_say,Under10K,1,2,3,2,2,9,6,Remain,Part-Time,No,control
30,Male,PG,Lib,20-30K,0,4,5,3,10,5,10,Remain,Part-Time,No,control
35,Male,A-lev,Lab,50-60K,0,4,4,4,10,5,10,Remain,Full-Time,No,control
