age,gender,education,party,income,too_many_imm,take_jobs,drive_down_wages,create_jobs,brexit_to_cut,increase_imm,sm_or_control,condition,eu_vote,employment,student
28,Male,A-lev,Plaid,20-30K,1,2,4,1,1,7,5,control,Remain,Full-Time,No
26,Female,A-lev,Con,40-50K,0,4,5,4,10,5,8,control,Remain,Not in paid work,No
51,Female,BA,Grn,20-30K,0,4,5,3,10,5,10,control,Remain,Part-Time,No
31,Female,A-lev,Lab,30-40K,0,5,5,3,10,5,10,control,Remain,Full-Time,No
47,Female,PG,Grn,Over100K,1,2,2,2,2,2,9,control,Remain,Full-Time,No
52,Male,A-lev,Lab,Under10K,0,4,3,4,9,5,10,control,Remain,Not in paid work,No
21,Female,BA,Lib,Under10K,0,5,5,3,9,5,7,control,Remain,Unemployed,Yes
22,Male,GCSEorLess,Lab,20-30K,0,3,5,4,10,4,10,control,Remain,Not in paid work,No
40,Female,BA,None,Over100K,0,4,4,4,8,5,9,control,Remain,Part-Time,No
40,Female,BA,Lab,20-30K,0,4,4,3,9,5,9,control,Remain,Full-Time,No
32,Female,PG,Lib,30-40K,0,4,3,2,8,5,9,control,Remain,Full-Time,No
54,Male,GCSEorLess,Lab,10-20K,0,5,5,5,10,5,10,control,Remain,Not in paid work,No
34,Female,BA,Lib,60-70K,0,5,5,4,10,4,10,control,Remain,Full-Time,No
22,Male,BA,None,20-30K,0,5,5,4,10,5,9,control,Remain,Unemployed,Yes
47,Female,BA,Lab,50-60K,0,4,2,4,9,4,7,control,Remain,Part-Time,No
27,Female,PG,Con,60-70K,0,4,4,3,7,5,7,control,Remain,Part-Time,No
34,Female,BA,Lib,50-60K,0,4,3,2,3,3,2,control,Remain,Part-Time,No
21,Female,PG,Grn,30-40K,0,5,5,4,9,7,8,control,Remain,Part-Time,Yes
30,Male,PG,Lib,20-30K,0,4,5,3,10,5,10,control,Remain,Part-Time,No
35,Male,A-lev,Lab,50-60K,0,4,4,4,10,5,10,control,Remain,Full-Time,No
47,Female,BA,None,60-70K,1,1,1,1,1,1,3,control,Remain,Full-Time,No
28,Female,A-lev,Lab,20-30K,0,5,5,3,9,4,8,control,Remain,Not in paid work,Yes
25,Female,BA,None,60-70K,0,5,5,5,10,6,10,control,Remain,Full-Time,No
43,Male,Post2,Lab,Under10K,0,5,5,4,10,10,10,control,Remain,Unemployed,No
45,Female,BA,Lab,10-20K,0,5,5,3,10,5,5,control,Remain,Not in paid work,No
30,Female,PG,Lab,Under10K,0,5,4,5,10,6,10,control,Remain,Not in paid work,No
25,Male,BA,Lab,50-60K,0,5,4,4,9,7,9,control,Remain,Full-Time,No
35,Female,BA,Lab,50-60K,0,4,4,3,9,5,9,control,Remain,Part-Time,No
32,Male,PG,None,30-40K,0,5,5,4,10,5,10,control,Remain,Full-Time,No
32,Male,BA,None,20-30K,0,5,5,4,10,5,9,control,Remain,Full-Time,No
