age,gender,education,party,income,time_on_page,too_many_imm,take_jobs,drive_down_wages,create_jobs,brexit_to_cut,increase_imm,sm_or_control,condition,eu_vote,employment,student
28,Male,A-level or equivalent,Plaid Cymru,"£20,000-29,999",NA,"Yes, too many",Agree,Disagree,Strongly disagree,9,7,5,control,Remain,Full-Time,No
26,Female,A-level or equivalent,Conservatives,"£40,000-49,999",NA,"No, not too many",Disagree,Strongly disagree,Agree,0,5,2,control,Remain,Not in paid work,No
51,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Green Party,"£20,000-29,999",NA,"No, not too many",Disagree,Strongly disagree,"Neither agree, nor disagree",0,5,0,control,Remain,Part-Time,No
31,Female,A-level or equivalent,Labour,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Strongly disagree,"Neither agree, nor disagree",0,5,0,control,Remain,Full-Time,No
24,Male,A-level or equivalent,Labour,"£10,000-19,999",NA,Don't know / not sure,Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",5,not applicable,1,control,Remain,Unemployed,Yes
47,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Green Party,"Over £100,000",NA,"Yes, too many",Agree,Agree,Disagree,8,2,1,control,Remain,Full-Time,No
52,Male,A-level or equivalent,Labour,"Under £10,000",NA,"No, not too many",Disagree,"Neither agree, nor disagree",Agree,1,5,0,control,Remain,Not in paid work,No
21,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Liberal Democrats,"Under £10,000",NA,"No, not too many",Strongly disagree,Strongly disagree,"Neither agree, nor disagree",1,5,3,control,Remain,Unemployed,Yes
33,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£30,000-39,999",NA,Don't know / not sure,"Neither agree, nor disagree","Neither agree, nor disagree","Neither agree, nor disagree",not applicable,not applicable,not applicable,control,Remain,Not in paid work,No
22,Male,GCSE or equivalent,Labour,"£20,000-29,999",NA,"No, not too many","Neither agree, nor disagree",Strongly disagree,Agree,0,4,0,control,Remain,Not in paid work,No
40,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"Over £100,000",NA,"No, not too many",Disagree,Disagree,Agree,2,5,1,control,Remain,Part-Time,No
40,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£20,000-29,999",NA,"No, not too many",Disagree,Disagree,"Neither agree, nor disagree",1,5,1,control,Remain,Full-Time,No
32,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Liberal Democrats,"£30,000-39,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree",Disagree,2,5,1,control,Remain,Full-Time,No
