control,text,video,vis,sd
36.4,36.6,36.5,35.9,0.31
54%,50.3%,51.8%,52.2%,1.52
46%,49.7%,48.2%,47.8%,1.52
10.1%,9.6%,7.6%,10.5%,1.29
17%,16.8%,16%,16.6%,0.43
18.7%,17.8%,21.6%,18.4%,1.69
15.7%,16.5%,17.7%,16.5%,0.82
14.5%,13.1%,10.5%,13.7%,1.73
8.4%,9%,7.2%,9.5%,0.99
5.7%,6.6%,5.9%,5.2%,0.58
4.2%,4.2%,4.7%,3.3%,0.58
1.7%,2.3%,2.5%,2.5%,0.38
1.5%,2.1%,2%,0.7%,0.64
2.6%,2%,4.1%,3.1%,0.89
19.7%,17.7%,18.8%,18%,0.9
27%,26.7%,26.4%,24.9%,0.93
10.9%,11.4%,14.1%,10.1%,1.73
30.3%,32.1%,30.7%,33.2%,1.33
12.1%,12.1%,10.1%,13.9%,1.55
44.5%,45.1%,42.4%,44.5%,1.18
23%,22.2%,24.5%,22.8%,0.98
18.6%,16.5%,17.4%,17.4%,0.86
8.1%,7.5%,8.3%,8.6%,0.46
5.7%,8.7%,7.4%,6.7%,1.26
18.1%,21%,21.3%,22.3%,1.8
81.9%,79%,78.7%,77.7%,1.8
40.8%,46.2%,44.8%,43.4%,2.3
59.2%,53.8%,55.2%,56.6%,2.3
0%,0%,0%,0%,0
19.8%,19.6%,21.7%,17.8%,1.59
31.9%,32.8%,30.5%,32.8%,1.09
5.5%,5.5%,5.4%,6.5%,0.52
1.9%,3.6%,3.1%,3.3%,0.75
5.4%,4.8%,4.9%,4.1%,0.54
0.5%,0.7%,0.4%,0.6%,0.13
5.5%,6%,5.6%,5.2%,0.33
26.8%,24%,24.7%,25.8%,1.23
2.8%,3.1%,3.8%,3.7%,0.48
934,1009,981,965,31.32
